@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
215,121,29,14,186,0.07,0.806667,0.896296,0.806667,0.103704,0.849123,0.385714,2.091358,0.502835
216,120,30,14,186,0.07,0.8,0.895522,0.8,0.104478,0.84507,0.382857,2.089552,0.514008
217,120,30,13,187,0.065,0.8,0.902256,0.8,0.097744,0.848057,0.38,2.105263,0.515641
218,119,31,13,187,0.065,0.793333,0.901515,0.793333,0.098485,0.843972,0.377143,2.103535,0.548816
219,118,32,13,187,0.065,0.786667,0.900763,0.786667,0.099237,0.839858,0.374286,2.101781,0.553986
220,117,33,13,187,0.065,0.78,0.9,0.78,0.1,0.835714,0.371429,2.1,0.555872
221,116,34,13,187,0.065,0.773333,0.899225,0.773333,0.100775,0.831541,0.368571,2.098191,0.557527
222,115,35,13,187,0.065,0.766667,0.898438,0.766667,0.101563,0.827338,0.365714,2.096354,0.563055
223,114,36,13,187,0.065,0.76,0.897638,0.76,0.102362,0.823105,0.362857,2.094488,0.581754
224,113,37,13,187,0.065,0.753333,0.896825,0.753333,0.103175,0.818841,0.36,2.092593,0.58593
225,112,38,13,187,0.065,0.746667,0.896,0.746667,0.104,0.814545,0.357143,2.090667,0.58789
226,111,39,13,187,0.065,0.74,0.895161,0.74,0.104839,0.810219,0.354286,2.08871,0.591856
227,110,40,13,187,0.065,0.733333,0.894309,0.733333,0.105691,0.805861,0.351429,2.086721,0.603784
228,109,41,13,187,0.065,0.726667,0.893443,0.726667,0.106557,0.801471,0.348571,2.084699,0.604585
229,108,42,13,187,0.065,0.72,0.892562,0.72,0.107438,0.797048,0.345714,2.082645,0.615833
230,107,43,13,187,0.065,0.713333,0.891667,0.713333,0.108333,0.792593,0.342857,2.080556,0.619777
231,106,44,13,187,0.065,0.706667,0.890756,0.706667,0.109244,0.788104,0.34,2.078431,0.622032
232,105,45,13,187,0.065,0.7,0.889831,0.7,0.110169,0.783582,0.337143,2.076271,0.622896
233,104,46,13,187,0.065,0.693333,0.888889,0.693333,0.111111,0.779026,0.334286,2.074074,0.63644
234,104,46,12,188,0.06,0.693333,0.896552,0.693333,0.103448,0.781955,0.331429,2.091954,0.636944
235,103,47,12,188,0.06,0.686667,0.895652,0.686667,0.104348,0.777358,0.328571,2.089855,0.644392
236,102,48,12,188,0.06,0.68,0.894737,0.68,0.105263,0.772727,0.325714,2.087719,0.651766
237,102,48,11,189,0.055,0.68,0.902655,0.68,0.097345,0.775665,0.322857,2.106195,0.65454
238,101,49,11,189,0.055,0.673333,0.901786,0.673333,0.098214,0.770992,0.32,2.104167,0.675111
239,101,49,10,190,0.05,0.673333,0.90991,0.673333,0.09009,0.773946,0.317143,2.123123,0.676941
240,101,49,9,191,0.045,0.673333,0.918182,0.673333,0.081818,0.776923,0.314286,2.142424,0.687748
241,101,49,8,192,0.04,0.673333,0.926606,0.673333,0.073394,0.779923,0.311429,2.16208,0.695904
242,100,50,8,192,0.04,0.666667,0.925926,0.666667,0.074074,0.775194,0.308571,2.160494,0.704929
243,100,50,7,193,0.035,0.666667,0.934579,0.666667,0.065421,0.77821,0.305714,2.180685,0.713259
244,99,51,7,193,0.035,0.66,0.933962,0.66,0.066038,0.773438,0.302857,2.179245,0.721865
245,98,52,7,193,0.035,0.653333,0.933333,0.653333,0.066667,0.768627,0.3,2.177778,0.736232
